Section,Media (NA or SDA),"Media additive (none, cyc, or amp)",Inside or Outside,Exposure duration (min),Days of incubation,# Mold-looking colonies (have hyphae) ,"# Non-mold-looking colonies (e.g., no hyphae) ",Total # colonies,Group Name,Notes
A04,NA,cyc,outside,30,2,22,86,107,Magic 4,Dandelion fluff on this plate; outside in foilage
A04,SDA,amp,inside,1,2,0,0,0,BacUp,
A04,SDA,amp,inside,1,2,0,0,0,BacUp,Placed on the corner next to the door on table 1. There was a lot of foot traffic at the time of our data collection.
A04,SDA,amp,outside,1,2,3,2,5,Group # Two,"Place on the soil, three cactus beside, one dead, one dying and one alive. "
A04,SDA,amp,outside,1,2,3,2,5,Group # Two,"Place on the soil, three cactus beside, one dead, one dying and one alive. "
A04,SDA,amp,inside,10,2,0,0,0,SALTY,"Inside 2098 Esau Lab Building, next to the window on the counter, back right center vent (CA)"
A04,SDA,amp,inside,10,2,0,0,0,SALTY,"Inside 2098 Esau Lab Building, next to the window on the counter, back right center vent (KL)"
A04,SDA,amp,outside,10,2,55,1,56,Group 4,on the floor/cement under a plant leaf
A04,SDA,amp,outside,10,2,96,3,99,Group 4,on the floor/cement under a plant leaf
A04,SDA,amp,inside,30,2,0,0,0,KAMM,towards the back of the class on the counter-top underneath the shelves where books are stored
A04,SDA,amp,inside,30,2,0,0,0,KAMM,towards the back of the class on the counter-top underneath the shelves where books are stored
A04,SDA,amp,outside,30,2,70,3,73,Magic 4,"On a cinderblock above ground cover, ant on plate, no marks where ant walked"
A04,SDA,amp,outside,30,2,36,11,47,Magic 4,On a cinderblock above ground cover
A04,SDA,amp,outside,30,2,12,34,46,Magic 4,outside in foilage
A04,SDA,amp,outside,30,2,21,16,37,Magic 4,outside in foilage
